HeaderURI,WellName,APINo,Label,OtherID,Operator,MineralOwner,LeaseName,SpudDate,EndedDrillingDate,welltype,Status,CommodityOfInterest,StatusDate,ProducingInterval,County,State,Field,OtherLocationName,PLSS_Meridians,Township,Range,Section,SectionPart,LatDegreeWGS84,LongDegreeWGS84,SRS,LocationUncertaintyStatement,DrillerTotalDepth,DepthReferencePoint,LengthUnits,WellBoreShape,TrueVerticalDepth,ElevationKB,ElevationDF,ElevationGL,FormationTD,BitDiameterCollar,DiameterUnits,Notes,CasingBottomDepthDriller,CasingTopDepth,CasingPipeDiameter,CasingWeight,CasingWeightUnits,InformationSource,Shape
https://geothermal.smu.edu/header/45a858bd-fd88-3057-89b9-6db6698bf06e,CA-00436,,CA-00436,SMU: CA-00436 ,,,,,,,,,,,Yolo County,California,,GREAT VALLEY; SACRAMENTO AMS CALIFORNIA; SMU: CA-00436| SV01-ZAM,,12N,1E,34DCA,,38.8398866,-121.8443505,WGS84,,646.0,,m,,,,,8.0,,,inches,UND Data Record: US 273. THE ZAMORA WELL ;  ,,,,,lbs/ft,SMU HF,0101000020E61000001FF7ADD609765EC0A0AC7367816B4340
https://geothermal.smu.edu/header/45b9037d-9e72-30f4-987e-1ea658e78fa7,CA-00449,,CA-00449,SMU: CA-00449 ,,,,,,,,,,,Colusa County,California,,GREAT VALLEY; UKIAH AMS CALIFORNIA; SMU: CA-00449| SV14-WIL,,15N,3W,35CA,,39.1048792,-122.1627629,WGS84,,168.0,,m,,,,,40.0,,,inches,THE WILLIAMS WELL ;  ,,,,,lbs/ft,SMU HF,0101000020E6100000232015B56A8A5EC0EC037FAE6C8D4340
https://geothermal.smu.edu/header/45bfa81e-ff95-3569-a5f1-99ac2f748ed7,CA-00632,,CA-00632,SMU: CA-00632 ,,,,,,,,,,,Modoc County,California,,BASIN AND RANGE; ALTURAS AMS / Medicine Lake Highlands; SMU: CA-00632| Arthur,,46N,6E,7ACC,,41.8415481,-121.3277838,WGS84,,21.0,,m,,,,,1417.0,,,inches,MedicineLakeCA(M-4);Datatakenfromtable || 2015 NREL Cascades HF used 96 ; water_table_depth: 13,,,,,lbs/ft,SMU HF,0101000020E6100000274AE768FA545EC066C11FD9B7EB4440
https://geothermal.smu.edu/header/45dedbc8-81e9-3121-be30-ceb0c00e4e7e,CA-08009,,CA-08009,SMU: CA-08009 ,,,,,,,,,,,Kern County,California,,; ; SMU: CA-08009| Cal-KR-6,,,,,,35.5001,-118.9717,WGS84,Located with Google Earth from raw data maps in the SMU Geothermal Lab,533.4,,m,,,,,,,,inches,High-quality equilibrium temp data; Gradients calculated from surface to bottom-hole; detailed temps:CA-08009_Cal-KR-6.TD.csv ;  ,,,,,lbs/ft,SMU HF,0101000020E61000007C61325530BE5DC0645DDC4603C04140
https://geothermal.smu.edu/header/461e5d1e-63f6-3791-b606-d0442cb8e65b,CA-06084,,CA-06084,SMU: CA-06084 ,,,,,,,,,,,Riverside County,California,,Basin and Range; Parker SW 7.5; SMU: CA-06084| 907,,,,,,34.0000465,-114.500797,WGS84,SW Corner of Map for Lat_Long,35.0,,m,,,,,,,,inches,1979 WUS data ;  ,,,,,lbs/ft,SMU HF,0101000020E6100000D63BDC0E0DA05CC059FD118601004140
https://geothermal.smu.edu/header/4629d4ef-55d6-39d5-b065-6155d7891a55,CA-00923,,CA-00923,SMU: CA-00923 ,,,,,,,,,,,Lake County,California,,FRANCISCAN-E. OF SAN ANDREAS; SANTA ROSA AMS; SMU: CA-00923| Gey69,,,,,,38.8648785,-122.6930733,WGS84,,115.9,,m,,,,,,,,inches,SMU REF M-96 ;  ,,,,,lbs/ft,SMU HF,0101000020E6100000C54E1D505BAC5EC0BC41B456B46E4340
https://geothermal.smu.edu/header/462ea088-aae7-37a9-8c2b-d49743fe6595,CA-01295,,CA-01295,SMU: CA-01295 ,,,,,,,,,,,Lake County,California,,FRANCISCAN-E. OF SAN ANDREAS; SANTA ROSA AMS; SMU: CA-01295| U-74-7,,,,,,38.9096782,-122.6385725,WGS84,,,,m,,,,,,,,inches,SMU REF M-72 ;  ,,,,,lbs/ft,SMU HF,0101000020E6100000FFE7305FDEA85EC02C71D35570744340
https://geothermal.smu.edu/header/463e956c-be9f-3f47-ac44-45d1997762d9,CA-08007,,CA-08007,SMU: CA-08007 ,,,,,,,,,,,Kern County,California,,; ; SMU: CA-08007| Cal-KR-4,,,,,,35.6792,-118.9664,WGS84,Located with Google Earth from raw data maps in the SMU Geothermal Lab,1295.4,,m,,,,,,,,inches,High-quality equilibrium temp data; Gradients calculated from surface to bottom-hole; detailed temps:CA-08007_Cal-KR-4.TD.csv ;  ,,,,,lbs/ft,SMU HF,0101000020E6100000AEB6627FD9BD5DC0BBB88D06F0D64140
https://geothermal.smu.edu/header/4646b665-e8f6-3eeb-b246-b7c09955c2d8,CA-01297,,CA-01297,SMU: CA-01297 ,,,,,,,,,,,Lake County,California,,FRANCISCAN-E. OF SAN ANDREAS; UKIAH AMS CALIFORNIA; SMU: CA-01297| U-75-13,,,,,,39.0636756,-122.6323747,WGS84,,,,m,,,,,,,,inches,SMU REF M-72 || 2015 NREL Cascades HF used 67 ;  ,,,,,lbs/ft,SMU HF,0101000020E610000057D4BBD378A85EC0CFC6A58526884340
https://geothermal.smu.edu/header/464911c8-d4b5-3040-9a94-edaf02c08bea,CA-01271,,CA-01271,SMU: CA-01271 ,,,,,,,,,,,Lake County,California,,FRANCISCAN-E. OF SAN ANDREAS; SANTA ROSA AMS; SMU: CA-01271| U-72-7,,,,,,38.8565777,-122.7927758,WGS84,,76.2,,m,,,,,883.0,,,inches,SMU REF M-72;M-95 ;  ,,,,,lbs/ft,SMU HF,0101000020E6100000DB83B5D6BCB25EC0D0FD8B56A46D4340
